row_order,requested_concept_code,target_concept_code,concept_code,standard_concept_name,n_code_target,n_code_no_target,n_target_no_code,n_no_code_no_target,n_target_before_code,n_code_before_target,odds_ratio,log_odds_ratio,total_with_code
8326,target_pcr_positive,target_pcr_positive,30103-conditionsrisks-999,Following underlying conditions or risk factors selected;Prefer not to answer,3,11,53,486,53,11,2.7675741568468104,1.0179711808502625,14
69100,target_pcr_positive,target_pcr_positive,bin_30122-Errands,Difficulty Running Errands Alone,3,11,53,483,53,11,2.750507923608289,1.0117855941175518,14
5036,target_pcr_positive,target_pcr_positive,30103-conditionsrisks-16,Following underlying conditions or risk factors selected;Cancer,2,8,54,489,54,8,2.641662169454938,0.971408328679251,10
39816,target_pcr_positive,target_pcr_positive,31350-healthdevice_type-2,"Within the last 12 months, participant has ued a: Blood Pressure Monitor",2,11,36,430,36,11,2.5640262060750447,0.9415787597842904,13
47392,target_pcr_positive,target_pcr_positive,31405-skipped_why-4,"Participant skipped questions on this survey, because they indicated: I didn't skip any questions",37,401,1,40,1,401,2.5217932752179326,0.9249702655938777,438
32766,target_pcr_positive,target_pcr_positive,30183-states_specify-28,Participant traveled in the last 14 days to the following: North Carolina,1,32,51,442,51,32,0.3965646004480956,-0.9249163244492337,33
67690,target_pcr_positive,target_pcr_positive,bin_30107-alcohol_consume,Alcohol Consumer,26,337,29,153,29,337,0.4085624607658506,-0.8951104736389303,363
4096,target_pcr_positive,target_pcr_positive,30103-conditionsrisks-10,Following underlying conditions or risk factors selected;Current substance use,0,10,56,487,56,10,0.4108723135271808,-0.8894727854379164,10
41226,target_pcr_positive,target_pcr_positive,31356-past12_recommended-1,"In the last 12 months, participant has: Followed a healthy diet (eating a variety of foods that includes vegetables, fruits, whole grains, and a limited amount of processed foods)",18,302,20,139,20,302,0.41616609554525297,-0.8766708302695592,320
891,target_pcr_positive,target_pcr_positive,30082-Race-3,Race selected; Asian,1,29,55,468,55,29,0.429225836005497,-0.8457720743115217,30
45747,target_pcr_positive,target_pcr_positive,31396-join_hear-5,"Participant heard about the study, because of: Social media",0,12,38,429,38,12,0.44623376623376626,-0.8069123247376292,12
37701,target_pcr_positive,target_pcr_positive,31346-past12mo_tech-1,"In the past 12 months, has used tech to: Measure fitness and health goals (such as exercise, steps, diet, weight, sleep)",21,320,17,121,17,320,0.46574548696233564,-0.7641159593759729,341
42166,target_pcr_positive,target_pcr_positive,31356-past12_recommended-998,"In the last 12 months, participant has: None of the above",8,51,30,390,30,51,2.1131625019894953,0.748185641492955,59
47157,target_pcr_positive,target_pcr_positive,31405-skipped_why-3,"Participant skipped questions on this survey, because they indicated: Other",0,11,38,430,38,11,0.48616600790513836,-0.7212051333551027,11
27596,target_pcr_positive,target_pcr_positive,30158-Symtpom_Neuro-9,"In the last 14 days,  the participant experienced the following neurological symptoms; Any tingling/numbness/swelling in hands or feet",3,16,49,458,49,16,1.9647995102540556,0.675390209710708,19
9501,target_pcr_positive,target_pcr_positive,30138-COVID_Why-5,"The following best describes why the participant was tested for the Coronavirus, selected; Other",4,21,48,453,48,21,1.957084631982738,0.6714559332544108,25
594,target_pcr_positive,target_pcr_positive,30082-Race-2,Race selected; Black or African American,19,105,37,392,37,105,1.9345971563981044,0.659899116899678,124
38641,target_pcr_positive,target_pcr_positive,31346-past12mo_tech-5,"In the past 12 months, has used tech to: Order a medical device or a prescription",15,112,23,329,23,112,1.9318203309692672,0.6584627350731748,127
2673,target_pcr_positive,target_pcr_positive,30086-Gender-1,Gender identity selected; Man,25,148,31,349,31,148,1.9052429052429052,0.6446095097639037,173
46217,target_pcr_positive,target_pcr_positive,31396-join_hear-7,"Participant heard about the study, because of: Other",2,15,36,426,36,15,1.8846663720724701,0.6337508142922421,17
2970,target_pcr_positive,target_pcr_positive,30086-Gender-2,Gender identity selected; Woman,31,347,25,150,25,347,0.5349978840457046,-0.6254924871487095,378
